Columns,n,type,mean,std,min,25%,50%,75%,max,value 1,value 2,value 3,value 4,value 5,freq 1,freq 2,freq 3,freq 4,freq 5,freq others,freq NA,
210X1,500,float64,92.27242,27.4714344,0,100.1,101.3,101.75,102.8,0,101.5,101.35,101.45,101.55,40,35,27,14,14,370,0,
210X2,500,float64,0.511932,0.23326543,0,0.36575,0.506,0.61225,0.97,0,0.526,0.508,0.349,0.843,40,6,5,5,5,439,0,
210X3,500,float64,0.23242,0.104536114,0,0.21,0.24,0.27,0.41,0.4,0.24,0.22,0.21,0.26,72,65,61,50,44,208,0,
210X4,500,float64,1.626228,1.09026741,0,1.01975,1.293,1.92575,3.891,0,1.051,0.533,1.312,1.43,40,4,3,3,3,447,0,
210X5,500,float64,57.12616,18.22415655,0,56.575,62.13,67.25,71.98,0,71.66,71.61,67.05,71.59,40,7,6,6,5,436,0,
210X6,500,float64,3.424444,1.148460496,0,3.242,3.616,3.86425,5.173,0,3.665,3.652,4.58,3.662,40,5,4,3,3,445,0,
210X7,500,float64,-0.42858,1.188766299,-2.45,-1.9125,-0.185,0.285,2.19,-2.06,-2.04,0,-1.98,-0.01,11,10,9,9,8,453,0,
210X8,500,float64,0.26706,1.092823354,-1.92,-0.67,0.4,1.22,2.23,-0.58,-0.44,1.02,-0.99,-0.47,12,11,11,10,9,447,0,
210X9,500,float64,-0.02754,0.120267522,-0.22,-0.14,-0.015,0.08,0.17,0.08,-0.13,0.06,-0.17,0.07,66,60,37,34,31,272,0,
210X10,500,float64,25.854,1.908068513,0,24.4,26,27,29.4,24.4,24.1,26.7,27.3,26.3,34,25,23,18,18,382,0,
210X11,500,float64,24.32352,11.0677281,0,23.715,24.5,27.79,42.35,0,41.61,41.56,24.51,23.77,40,13,10,7,7,423,0,
210X12,500,float64,0.90101,0.885701358,0,0.402,0.51,0.64075,2.786,0,0.49,0.329,0.479,0.504,40,6,5,5,5,439,0,
210X13,500,float64,0.075006,0.005372121,0,0.072,0.076,0.078,0.087,0.077,0.076,0.075,0.072,0.078,75,54,44,40,39,248,0,
210X14,500,float64,0.07384,0.007943841,0,0.067,0.072,0.079,0.088,0.066,0.079,0.067,0.071,0.08,87,53,53,37,37,233,0,
210X15,500,float64,0.075092,0.005306586,0,0.072,0.076,0.078,0.084,0.078,0.077,0.075,0.072,0.076,73,56,55,52,51,213,0,
210X16,500,float64,0.073882,0.007891554,0,0.067,0.072,0.079,0.088,0.066,0.079,0.067,0.072,0.076,101,71,55,46,29,198,0,
210X18,500,float64,0.3996,0.000800801,0.398,0.4,0.4,0.4,0.4,0.4,0.398,,,,400,100,,,,0,0,
210X19,500,int64,1.896,0.312055696,0,2,2,2,2,2,1,0,,,449,50,1,,,0,0,
210X20,500,float64,14.1616,0.734032047,0,14,14.2,14.4,15.6,14.1,14.2,14.3,14,14.4,81,75,61,53,46,184,0,
210X21,500,int64,13.972,0.626099034,0,14,14,14,14,14,0,,,,499,1,,,,0,0,"'210X21',"
210X22,500,int64,13.972,0.626099034,0,14,14,14,14,14,0,,,,499,1,,,,0,0,"'210X22',"
210X23,500,float64,14.1582,0.727193496,0,14.1,14.2,14.4,15.4,14.2,14.1,14.3,14,14.4,91,89,68,44,34,174,0,
210X25,500,float64,0.717352,0.041802428,0,0.69575,0.725,0.73,0.772,0.728,0.726,0.723,0.677,0.679,38,37,33,30,28,334,0,
210X26,500,float64,0.712546,0.050671166,0,0.673,0.709,0.751,0.78,0.673,0.671,0.71,0.708,0.675,53,37,35,29,25,321,0,
210X27,500,float64,0.004142,0.00995973,0,0.003,0.004,0.004,0.226,0.004,0.003,0.005,0.002,0.226,295,172,29,2,1,1,0,
210X28,500,float64,0.003886,0.000691346,0,0.004,0.004,0.004,0.01,0.004,0.003,0.005,0.002,0.006,343,106,42,3,2,4,0,
210X29,500,float64,0.001032,0.000853483,0,0.001,0.001,0.001,0.02,0.001,0,0.02,,,496,3,1,,,0,0,"'210X29',"
210X30,500,float64,0.001022,0.000376563,0,0.001,0.001,0.001,0.007,0.001,0,0.005,0.007,,494,3,2,1,,0,0,"'210X30',"
210X32,500,float64,0.074012,0.008837197,0,0.066,0.074,0.081,0.089,0.081,0.074,0.064,0.065,0.066,74,58,52,48,42,226,0,
210X33,500,float64,0.073388,0.0068025,0,0.068,0.075,0.079,0.081,0.08,0.079,0.068,0.076,0.063,92,59,53,42,39,215,0,
210X34,500,float64,0.074008,0.008835841,0,0.066,0.074,0.081,0.088,0.081,0.074,0.064,0.087,0.066,91,68,66,58,47,170,0,
210X35,500,float64,0.073402,0.006822132,0,0.068,0.076,0.079,0.08,0.079,0.08,0.068,0.076,0.069,91,88,64,56,35,166,0,
210X36,500,int64,433.95,21.81970897,0,430,435,445,450,430,450,435,445,425,130,85,74,57,55,99,0,
210X37,500,int64,0.004,0.063182149,0,0,0,0,1,0,1,,,,498,2,,,,0,0,"'210X37',"
210X39,500,float64,50.7261,17.25783504,0,50.1375,53.49,59.8375,68.59,0,29.13,28.98,53.38,53.06,40,5,5,4,3,443,0,
