Columns,n,type,mean,std,min,25%,50%,75%,max,value 1,value 2,value 3,value 4,value 5,freq 1,freq 2,freq 3,freq 4,freq 5,freq others,freq NA,tongyi,,,,
ID,500,object,,,,,,,,ID466,ID654,ID537,ID498,ID122,2,1,1,1,1,494,0,,"'ID',",,,
TOOL_ID,500,object,,,,,,,,M,L,N,J,O,114,100,97,85,65,39,0,,"'TOOL_ID',",,,
330X647,500,int64,3.2538E+14,2.69783E+13,3E+14,3E+14,3E+14,3.54E+14,3.54E+14,3E+14,3.54E+14,,,,265,235,,,,0,0,0.082913357,"'330X647',",,,
330X648,500,int64,3.2538E+14,2.69783E+13,3E+14,3E+14,3E+14,3.54E+14,3.54E+14,3E+14,3.54E+14,,,,265,235,,,,0,0,0.082913357,"'330X648',",,,
330X1220,500,int64,3.2538E+14,2.69783E+13,3E+14,3E+14,3E+14,3.54E+14,3.54E+14,3E+14,3.54E+14,,,,265,235,,,,0,0,0.082913357,"'330X1220',",,,
330X1302,500,int64,3.2538E+14,2.69783E+13,3E+14,3E+14,3E+14,3.54E+14,3.54E+14,3E+14,3.54E+14,,,,265,235,,,,0,0,0.082913357,"'330X1302',",,,
360X717,500,int64,1.7987E+13,1.04916E+12,1.7E+13,1.7E+13,1.7E+13,1.91E+13,1.91E+13,1.7E+13,1.91E+13,,,,265,235,,,,0,0,0.058328681,"'360X717',",,,
360X718,500,int64,1.7987E+13,1.04916E+12,1.7E+13,1.7E+13,1.7E+13,1.91E+13,1.91E+13,1.7E+13,1.91E+13,,,,265,235,,,,0,0,0.058328681,"'360X718',",,,
360X1350,500,int64,1.7987E+13,1.04916E+12,1.7E+13,1.7E+13,1.7E+13,1.91E+13,1.91E+13,1.7E+13,1.91E+13,,,,265,235,,,,0,0,0.058328681,"'360X1350',",,,
360X1442,500,int64,1.7987E+13,1.04916E+12,1.7E+13,1.7E+13,1.7E+13,1.91E+13,1.91E+13,1.7E+13,1.91E+13,,,,265,235,,,,0,0,0.058328681,"'360X1442',",,,
360X1452,500,int64,1.7987E+13,1.04916E+12,1.7E+13,1.7E+13,1.7E+13,1.91E+13,1.91E+13,1.7E+13,1.91E+13,,,,265,235,,,,0,0,0.058328681,"'360X1452',",,,
210X217,500,int64,9041632529,4076782814,0,7751527745,10802256094,11227497283,14414887220,11093567487,10953341199,2623225166,11292335438,2740257106,1,1,1,1,1,495,0,0.450890124,,,,
210X216,500,int64,9069069185,4064853780,0,7766944793,10792493657,11227493457,14526021523,2858217528,2728662377,11255169346,2878012890,10866941254,1,1,1,1,1,495,0,0.448210692,,,,
220X67,499,float64,2.01708E+15,3873573014,2.01707E+15,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01707E+15,2.01707E+15,2.01707E+15,2.01707E+15,2,1,1,1,1,493,1,1.92039E-06,"'220X67',",,,
220X83,499,float64,2.01708E+15,3873572044,2.01707E+15,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01707E+15,2.01707E+15,2.01707E+15,2.01707E+15,2,1,1,1,1,493,1,1.92039E-06,"'220X83',",,,
220X75,499,float64,2.01708E+15,3873571987,2.01707E+15,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01708E+15,2,1,1,1,1,493,1,1.92039E-06,"'220X75',",,,
220X91,499,float64,2.01708E+15,3873571923,2.01707E+15,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01707E+15,2,1,1,1,1,493,1,1.92039E-06,"'220X91',",,,
220X79,500,int64,2.01708E+15,3872408689,2.01707E+15,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01707E+15,2.01708E+15,2.01707E+15,2.01707E+15,2,1,1,1,1,494,0,1.91981E-06,"'220X79',",,,
